ID,Source,x,y,R,G,B,size
75776,525001344680906880,17.922754399389998,65.0187981679,68,81,191,4.049480472248285
27379,573196890693529088,13.72377943169,83.70733017949,71,118,238,4.011274195703858
72179,2215178933954312448,351.82089824095,70.35976289489,70,130,248,4.010228250309502
58628,2060590416602748416,304.61962060799,36.99989745559,70,105,224,4.009085528766468
81557,2960561059245715968,75.97208798410999,-24.3883160361,71,115,235,4.005307595152312
81093,1588975588412216576,226.35720532511,48.1510979041,69,94,211,3.992573776394624
88230,1855937763254222592,309.26954461035,26.46189388727,69,89,203,3.990853863154081
27233,565525976023772288,18.07241695943,79.67394179451999,70,105,224,3.980776599348297
39106,1846740215346263936,321.14193275801,26.17458354039,58,163,252,3.978598274606356
11017,560881879425930112,38.62930148974,76.71792198823,254,167,50,3.9687271303410228
